BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT,YEAR,QUARTER
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1599221.96,1599221.96,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,43.25,43.25,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,23148.73,23148.73,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3444.02,3444.02,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,38257,38257,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,14548.37,14548.37,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,2884.74,2884.74,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1681548.07,1681548.07,2021,1
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,1681548.07,1681548.07,2021,1
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8000,8000,2021,1
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8000,8000,2021,1
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,OFFICE TOTALS:,8000,8000,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,606439.66,606439.66,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,27.16,27.16,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,179.57,179.57,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4585,4585,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,11817.8,11817.8,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,623049.19,623049.19,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,623049.19,623049.19,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6000,6000,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6000,6000,2021,1
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,6000,6000,2021,1
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1065358.89,1065358.89,2021,1
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,6443.6,6443.6,2021,1
